央视,#genre#
CCTV17,http://60.220.167.63:8082/rtp/226.0.2.170:9272
CCTV17,http://60.223.90.51:8002/rtp/226.0.2.170:9272
CCTV兵器科技,http://111.161.141.169:4022/udp/225.1.2.166:5002
CCTV兵器科技,http://60.220.167.63:8082/rtp/226.0.2.223:9696
CCTV兵器科技,http://60.220.167.63:8085/rtp/226.0.2.223:9696
CCTV兵器科技,http://60.223.90.51:8002/rtp/226.0.2.223:9696
CCTV第一剧场,http://111.161.141.169:4022/udp/225.1.2.175:5002
CCTV第一剧场,http://60.220.167.63:8082/rtp/226.0.2.221:9680
CCTV第一剧场,http://60.220.167.63:8085/rtp/226.0.2.221:9680
CCTV第一剧场,http://60.223.90.51:8002/rtp/226.0.2.221:9680
CCTV电视指南,http://111.161.141.169:4022/udp/225.1.2.167:5002
CCTV电视指南,http://60.220.167.63:8082/rtp/226.0.2.218:9656
CCTV电视指南,http://60.220.167.63:8085/rtp/226.0.2.218:9656
CCTV电视指南,http://60.223.90.51:8002/rtp/226.0.2.218:9656
CCTV风云剧场,http://111.161.141.169:4022/udp/225.1.2.174:5002
CCTV风云剧场,http://60.220.167.63:8085/rtp/226.0.2.227:9728
CCTV风云剧场,http://60.223.90.51:8002/rtp/226.0.2.227:9728
CCTV风云音乐,http://111.161.141.169:4022/udp/225.1.2.176:5002
CCTV风云音乐,http://60.220.167.63:8082/rtp/226.0.2.220:9672
CCTV风云音乐,http://60.220.167.63:8085/rtp/226.0.2.220:9672
CCTV风云音乐,http://60.223.90.51:8002/rtp/226.0.2.220:9672
CCTV风云足球,http://111.161.141.169:4022/udp/225.1.2.168:5002
CCTV风云足球,http://60.220.167.63:8082/rtp/226.0.2.225:9712
CCTV风云足球,http://60.220.167.63:8085/rtp/226.0.2.225:9712
CCTV风云足球,http://60.223.90.51:8002/rtp/226.0.2.225:9712
CCTV高尔夫网,http://111.161.141.169:4022/udp/225.1.2.169:5002
CCTV高网,http://60.220.167.63:8082/rtp/226.0.2.217:9648
CCTV高网,http://60.220.167.63:8085/rtp/226.0.2.217:9648
CCTV高网,http://60.223.90.51:8002/rtp/226.0.2.217:9648
CCTV怀旧剧场,http://111.161.141.169:4022/udp/225.1.2.173:5002
CCTV怀旧剧场,http://60.220.167.63:8082/rtp/226.0.2.224:9704
CCTV怀旧剧场,http://60.220.167.63:8085/rtp/226.0.2.224:9704
CCTV怀旧剧场,http://60.223.90.51:8002/rtp/226.0.2.224:9704
CCTV女性时尚,http://111.161.141.169:4022/udp/225.1.2.172:5002
CCTV女性时尚,http://60.220.167.63:8082/rtp/226.0.2.226:9720
CCTV女性时尚,http://60.220.167.63:8085/rtp/226.0.2.226:9720
CCTV女性时尚,http://60.223.90.51:8002/rtp/226.0.2.226:9720
CCTV少儿,http://222.211.199.91:808/hls/11/index.m3u8
CCTV世界地理,http://111.161.141.169:4022/udp/225.1.2.171:5002
CCTV世界地理,http://60.220.167.63:8082/rtp/226.0.2.222:9688
CCTV世界地理,http://60.220.167.63:8085/rtp/226.0.2.222:9688
CCTV世界地理,http://60.223.90.51:8002/rtp/226.0.2.222:9688
CCTV新影老故事,http://123.101.98.21:2000/rtp/239.16.20.133:11330
CCTV新影老故事,http://123.101.98.21:2001/rtp/239.16.20.133:11330
CCTV央视台球,http://111.161.141.169:4022/udp/225.1.2.170:5002
CCTV央视台球,http://60.220.167.63:8085/rtp/226.0.2.216:9640
CCTV央视台球,http://60.223.90.51:8002/rtp/226.0.2.216:9640
CCTV央视文化,http://111.161.141.169:4022/udp/225.1.2.177:5002
CCTV央视文化精品,http://60.220.167.63:8082/rtp/226.0.2.219:9664
CCTV央视文化精品,http://60.220.167.63:8085/rtp/226.0.2.219:9664
CCTV央视文化精品,http://60.223.90.51:8002/rtp/226.0.2.219:9664
CCTV中学生,http://121.24.98.44:8090/hls/24/index.m3u8
CETV1,http://121.24.98.44:8090/hls/67/index.m3u8
CETV1,http://123.101.98.21:2000/rtp/239.16.10.12:2000
CETV1,http://123.101.98.21:2000/rtp/239.16.20.78:10780
CETV1,http://123.101.98.21:2001/rtp/239.16.10.12:2000
CETV1,http://123.101.98.21:2001/rtp/239.16.20.78:10780
CETV1,http://60.220.167.63:8082/rtp/226.0.2.181:9360
CETV1,http://60.220.167.63:8085/rtp/226.0.2.181:9360
CETV早期教育,http://111.161.141.169:4022/udp/225.1.2.207:5002
CETV早期教育,http://60.220.167.63:8082/rtp/226.0.2.99:8704
CETV早期教育,http://60.220.167.63:8085/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.90.51:8002/rtp/226.0.2.99:8704

安徽卫视,http://111.161.141.169:4022/udp/225.1.1.127:5002
安徽卫视,http://113.206.119.251:8001/udp/225.0.4.133:7980
安徽卫视,http://113.206.119.251:8002/udp/225.0.4.133:7980
安徽卫视,http://113.206.119.251:8005/udp/225.0.4.133:7980
安徽卫视,http://115.153.77.143:6002/udp/239.252.220.83:5140
